HISTID,Year,Month,Day,Hour,Minute,P1,P2
7666,2015,12,16,18,35,0.0,0.0
7666,2015,12,16,18,40,0.0,0.0
7666,2015,12,16,18,45,0.0,0.0
7666,2015,12,16,18,50,0.0,0.0
7666,2015,12,16,18,55,0.0,0.0
7666,2015,12,16,19,0,0.0,0.0
7666,2015,12,16,19,5,0.0,0.0
7666,2015,12,16,19,10,0.0,0.0
7666,2015,12,16,19,15,0.0,0.0
7666,2015,12,16,19,20,0.0,0.0
7666,2015,12,16,19,25,0.0,0.0
7666,2015,12,16,19,30,0.0,0.0
7666,2015,12,16,19,35,0.0,0.0
7666,2015,12,16,19,40,0.0,0.0
7666,2015,12,16,19,45,0.0,0.0
7666,2015,12,16,19,50,0.0,0.0
7666,2015,12,16,19,55,0.0,0.0
7666,2015,12,16,20,0,0.0,0.0
7666,2015,12,16,20,5,0.0,0.0
7666,2015,12,16,20,10,0.0,0.0
7666,2015,12,16,20,15,0.0,0.0
7666,2015,12,16,20,20,0.0,0.0
7666,2015,12,16,20,25,0.0,0.0
7666,2015,12,16,20,30,0.0,0.0
7666,2015,12,16,20,35,0.0,0.0
7666,2015,12,16,20,40,0.0,0.0
7666,2015,12,16,20,45,0.0,0.0
7666,2015,12,16,20,50,0.0,0.0
7666,2015,12,16,20,55,0.0,0.0
7666,2015,12,16,21,0,0.0,0.0
7666,2015,12,16,21,5,0.0,0.0
7666,2015,12,16,21,10,0.0,0.0
7666,2015,12,16,21,15,0.0,0.0
7666,2015,12,16,21,20,0.0,0.0
7666,2015,12,16,21,25,0.0,0.0
7666,2015,12,16,21,30,0.0,0.0
7666,2015,12,16,21,35,0.0,0.0
7666,2015,12,16,21,40,0.0,0.0
7666,2015,12,16,21,45,0.0,0.0
7666,2015,12,16,21,50,0.0,0.0
7666,2015,12,16,21,55,0.0,0.0
7666,2015,12,16,22,0,0.0,0.0
7666,2015,12,16,22,5,0.0,0.0
7666,2015,12,16,22,10,0.0,0.0
7666,2015,12,16,22,15,0.0,0.0
7666,2015,12,16,22,20,0.0,0.0
7666,2015,12,16,22,25,0.0,0.0
7666,2015,12,16,22,30,0.0,0.0
7666,2015,12,16,22,35,0.0,0.0
7666,2015,12,16,22,40,0.0,0.0
7666,2015,12,16,22,45,0.0,0.0
7666,2015,12,16,22,50,0.0,0.0
7666,2015,12,16,22,55,0.0,0.0
7666,2015,12,16,23,0,0.0,0.0
7666,2015,12,16,23,5,0.0,0.0
7666,2015,12,16,23,10,0.0,0.0
7666,2015,12,16,23,15,0.0,0.0
7666,2015,12,16,23,20,0.0,0.0
7666,2015,12,16,23,25,0.0,0.0
7666,2015,12,16,23,30,0.0,0.0
7666,2015,12,16,23,35,0.0,0.0
7666,2015,12,16,23,40,0.0,0.0
7666,2015,12,16,23,45,0.0,0.0
7666,2015,12,16,23,50,0.0,0.0
7666,2015,12,16,23,55,0.0,0.0
7666,2015,12,17,0,0,0.0,0.0
7666,2015,12,17,0,5,0.0,0.0
7666,2015,12,17,0,10,0.0,0.0
7666,2015,12,17,0,15,0.0,0.0
7666,2015,12,17,0,20,0.0,0.0
7666,2015,12,17,0,25,0.0,0.0
7666,2015,12,17,0,30,0.0,0.0
7666,2015,12,17,0,35,0.0,0.0
7666,2015,12,17,0,40,0.0,0.0
7666,2015,12,17,0,45,0.0,0.0
7666,2015,12,17,0,50,0.0,0.0
7666,2015,12,17,0,55,0.0,0.0
7666,2015,12,17,1,0,0.0,0.0
7666,2015,12,17,1,5,0.0,0.0
7666,2015,12,17,1,10,0.0,0.0
7666,2015,12,17,1,15,0.0,0.0
7666,2015,12,17,1,20,0.0,0.0
7666,2015,12,17,1,25,0.0,0.0
7666,2015,12,17,1,30,0.0,0.0
7666,2015,12,17,1,35,0.0,0.0
7666,2015,12,17,1,40,0.0,0.0
7666,2015,12,17,1,45,0.0,0.0
7666,2015,12,17,1,50,0.0,0.0
7666,2015,12,17,1,55,0.0,0.0
7666,2015,12,17,2,0,0.0,0.0
7666,2015,12,17,2,5,0.0,0.0
7666,2015,12,17,2,10,0.0,0.0
7666,2015,12,17,2,15,0.0,0.0
7666,2015,12,17,2,20,0.0,0.0
7666,2015,12,17,2,25,0.0,0.0
7666,2015,12,17,2,30,0.0,0.0
7666,2015,12,17,2,35,0.0,0.0
7666,2015,12,17,2,40,0.0,0.0
7666,2015,12,17,2,45,0.0,0.0
7666,2015,12,17,2,50,0.0,0.0
7666,2015,12,17,2,55,0.0,0.0
7666,2015,12,17,3,0,0.0,0.0
